MovieName,DateRelease,Genre,Cast,DirectorName
Community season,2/24/2003,Drama,"Scarlett Johansson, Emily Blunt, Tom Holland",Karla Hawkins
Discussion most anything,9/1/2005,Romance,"Emily Blunt, Leonardo DiCaprio, Emma Stone",John Evans
Sometimes these,10/31/1993,Fantasy,"Dwayne Johnson, Emma Stone, Chris Evans",Kevin Jackson
Describe range every at,6/17/1972,Comedy,"Emma Stone, Tom Holland, Robert Downey Jr.",Rachel Vance
Generation practice continue,9/8/2016,Romance,"Dwayne Johnson, Gal Gadot, Tom Holland",Sabrina Hughes
Respond kind two,8/1/2012,Horror,"Emily Blunt, Zendaya, Dwayne Johnson",Grace Hodges
This military world,12/31/2018,Horror,"Tom Holland, Scarlett Johansson, Chris Evans",Catherine Thomas
Need company,12/4/2017,Horror,"Zendaya, Emily Blunt, Robert Downey Jr.",Frances Levine
Country player paper,10/6/1990,Sci-Fi,"Emma Stone, Gal Gadot, Tom Holland",Angel Perez
Trouble still,12/24/1976,Comedy,"Gal Gadot, Leonardo DiCaprio, Robert Downey Jr.",Sharon Butler
